time_ms,max_power_w,power_w,current_a,voltage_v,total_consumption_j,pwm_input_us,pwm_output_us,pwm_control_us,status
573874,241,0.222,0.02,11.1,3060,989,989,2000,0
573927,241,0.333,0.03,11.1,3060,989,989,2000,0
573980,241,0.333,0.03,11.1,3060,989,989,2000,0
574033,241,0.333,0.03,11.1,3060,993,993,2000,0
574086,241,0.333,0.03,11.1,3060,989,989,2000,0
574139,241,0.222,0.02,11.1,3060,989,989,2000,0
574192,241,0.333,0.03,11.1,3060,992,992,2000,0
574245,241,0.333,0.03,11.1,3060,989,989,2000,0
574298,241,0.222,0.02,11.1,3060,989,989,2000,0
574351,241,0.222,0.02,11.1,3060,989,989,2000,0
574404,241,0.222,0.02,11.1,3060,989,989,2000,0
574457,241,0.333,0.03,11.1,3060,989,989,2000,0
574509,241,0.333,0.03,11.1,3060,989,989,2000,0
574562,241,0.333,0.03,11.1,3060,989,989,2000,0
574615,241,0.222,0.02,11.1,3060,989,989,2000,0
574668,241,0.333,0.03,11.1,3060,989,989,2000,0
574721,241,0.333,0.03,11.1,3060,989,989,2000,0
574774,241,0.222,0.02,11.1,3060,989,989,2000,0
574827,241,0.333,0.03,11.1,3060,989,989,2000,0
574880,241,0.222,0.02,11.1,3060,989,989,2000,0
574933,241,0.333,0.03,11.1,3060,989,989,2000,0
574986,241,0.333,0.03,11.1,3060,989,989,2000,0
575039,241,0.333,0.03,11.1,3060,989,989,2000,0
575092,241,0.22219999,0.02,11.11,3060,989,989,2000,0
575145,241,0.333,0.03,11.1,3060,989,989,2000,0
575198,241,0.3333,0.03,11.11,3060,989,989,2000,0
575251,241,0.22219999,0.02,11.11,3060,989,989,2000,0
575304,241,0.3333,0.03,11.11,3060,989,989,2000,0
575356,241,0.3333,0.03,11.11,3060,989,989,2000,0
575410,241,0.3333,0.03,11.11,3060,989,989,2000,0
575463,241,0.3333,0.03,11.11,3060,989,989,2000,0
575516,241,0.3333,0.03,11.11,3060,989,989,2000,0
575568,241,0.3333,0.03,11.11,3060,989,989,2000,0
575622,241,0.22219999,0.02,11.11,3060,989,989,2000,0
575675,241,0.3333,0.03,11.11,3060,989,989,2000,0
575728,241,0.3333,0.03,11.11,3060,989,989,2000,0
575780,241,0.3333,0.03,11.11,3060,989,989,2000,0
575833,241,0.3333,0.03,11.11,3060,989,989,2000,0
575886,241,0.3333,0.03,11.11,3060,1007,1007,2000,0
575939,241,0.22219999,0.02,11.11,3060,1012,1012,2000,0
575992,241,0.3333,0.03,11.11,3060,1029,1029,2000,0
576045,241,0.22219999,0.02,11.11,3060,1047,1047,2000,0
576098,241,0.22219999,0.02,11.11,3060,1056,1056,2000,0
576151,241,0.22219999,0.02,11.11,3060,1062,1062,2000,0
576204,241,0.44439998,0.04,11.11,3060,1065,1065,2000,0
576257,241,0.22219999,0.02,11.11,3060,1065,1065,2000,0
576310,241,0.22219999,0.02,11.11,3060,1068,1068,2000,0
576363,241,0.3333,0.03,11.11,3060,1076,1076,2000,0
576416,241,0.3333,0.03,11.11,3060,1078,1078,2000,0
576469,241,0.22219999,0.02,11.11,3060,1080,1080,2000,0
576522,241,0.3333,0.03,11.11,3060,1083,1083,2000,0
576575,241,0.22219999,0.02,11.11,3060,1085,1085,2000,0
576628,241,0.22219999,0.02,11.11,3060,1088,1088,2000,0
576681,241,0.22219999,0.02,11.11,3060,1090,1090,2000,0
576733,241,0.3333,0.03,11.11,3060,1095,1095,2000,0
576786,241,0.22219999,0.02,11.11,3060,1103,1103,2000,0
576839,241,0.3333,0.03,11.11,3060,1106,1106,2000,0
576892,241,0.3333,0.03,11.11,3060,1108,1108,2000,0
576945,241,0.22219999,0.02,11.11,3060,1105,1105,2000,0
576998,241,0.22219999,0.02,11.11,3060,1106,1106,2000,0
577051,241,0.22219999,0.02,11.11,3060,1111,1111,2000,0
577104,241,0.3333,0.03,11.11,3060,1115,1115,2000,0
577157,241,0.3333,0.03,11.11,3060,1120,1120,2000,0
577210,241,0.3333,0.03,11.11,3060,1125,1125,2000,0
577263,241,0.22219999,0.02,11.11,3060,1134,1134,2000,0
577316,241,26.6926,2.42,11.03,3060,1137,1000,1000,1
577369,241,14.475499,1.31,11.05,3060,1142,1142,2000,0
577422,241,13.0508,1.18,11.06,3061,1145,1145,2000,0
577475,241,13.272001,1.2,11.06,3061,1148,1148,2000,0
577528,241,11.291399,1.02,11.07,3061,1155,1155,2000,0
577581,241,5.8777,0.53,11.09,3061,1155,1155,2000,0
577634,241,5.3231997,0.48,11.09,3061,1160,1160,2000,0
577687,241,5.8777,0.53,11.09,3061,1165,1165,2000,0
577740,241,6.4322,0.58,11.09,3062,1165,1165,2000,0
577793,241,6.5431,0.59,11.09,3062,1170,1170,2000,0
577846,241,6.8758,0.62,11.09,3062,1173,1173,2000,0
577899,241,7.5412,0.68,11.09,3062,1177,1177,2000,0
577952,241,9.0856,0.82,11.08,3062,1180,1180,2000,0
578005,241,9.1964,0.83,11.08,3062,1183,1183,2000,0
578057,241,9.0856,0.82,11.08,3063,1186,1186,2000,0
578111,241,9.2987995,0.84,11.07,3063,1190,1190,2000,0
578163,241,9.5202,0.86,11.07,3063,1193,1193,2000,0
578216,241,10.0737,0.91,11.07,3063,1194,1194,2000,0
578269,241,9.8523,0.89,11.07,3063,1196,1196,2000,0
578322,241,10.627199,0.96,11.07,3064,1200,1200,2000,0
578375,241,9.962999,0.9,11.07,3064,1203,1203,2000,0
578428,241,12.398399,1.12,11.07,3064,1203,1203,2000,0
578482,241,10.6176,0.96,11.06,3064,1206,1206,2000,0
578535,241,11.2812,1.02,11.06,3064,1210,1210,2000,0
578588,241,12.9402,1.17,11.06,3065,1214,1214,2000,0
578641,241,12.276601,1.11,11.06,3065,1213,1213,2000,0
578694,241,14.2674,1.29,11.06,3065,1213,1213,2000,0
578747,241,13.493201,1.22,11.06,3065,1215,1215,2000,0
578800,241,12.166,1.1,11.06,3066,1216,1216,2000,0
578853,241,12.719,1.15,11.06,3066,1217,1217,2000,0
578906,241,12.719,1.15,11.06,3066,1218,1218,2000,0
578959,241,12.055401,1.09,11.06,3066,1218,1218,2000,0
579012,241,12.497801,1.13,11.06,3067,1219,1219,2000,0
579065,241,13.161401,1.19,11.06,3067,1219,1219,2000,0
579118,241,13.603801,1.23,11.06,3067,1219,1219,2000,0
579171,241,13.603801,1.23,11.06,3067,1224,1224,2000,0
579224,241,12.9402,1.17,11.06,3068,1221,1221,2000,0
579277,241,12.6084,1.14,11.06,3068,1224,1224,2000,0
