time_ms,max_power_w,power_w,current_a,voltage_v,total_consumption_j,pwm_input_us,pwm_output_us,pwm_control_us,status
1190445,194,0.3714,0.03,12.38,606,989,1000,1858,0
1190497,194,0.3714,0.03,12.38,606,989,1000,1858,0
1190550,194,0.3714,0.03,12.38,606,989,1000,1858,0
1190603,194,0.3714,0.03,12.38,606,989,1000,1858,0
1190655,194,0.3714,0.03,12.38,606,989,1000,1858,0
1190708,194,0.3714,0.03,12.38,606,989,1000,1858,0
1190761,194,0.3714,0.03,12.38,606,989,1000,1858,0
1190814,194,0.3714,0.03,12.38,606,989,1000,1858,0
1190866,194,0.3714,0.03,12.38,606,989,1000,1858,0
1190919,194,0.3714,0.03,12.38,606,989,1000,1858,0
1190972,194,0.3714,0.03,12.38,606,989,1000,1858,0
1191025,194,0.3714,0.03,12.38,606,989,1000,1858,0
1191078,194,0.3714,0.03,12.38,606,989,1000,1858,0
1191131,194,0.3714,0.03,12.38,606,989,1000,1858,0
1191183,194,0.3714,0.03,12.38,606,989,1000,1858,0
1191236,194,0.3714,0.03,12.38,606,989,1000,1858,0
1191288,194,0.3714,0.03,12.38,606,989,1000,1858,0
1191341,194,0.3714,0.03,12.38,606,989,1000,1858,0
1191394,194,0.3714,0.03,12.38,606,989,1000,1858,0
1191447,194,0.3717,0.03,12.39,606,989,1000,1858,0
1191500,194,0.3717,0.03,12.39,606,989,1000,1858,0
1191552,194,0.3717,0.03,12.39,606,989,1000,1858,0
1191605,194,0.3717,0.03,12.39,606,989,1000,1858,0
1191658,194,0.3717,0.03,12.39,606,989,1000,1858,0
1191710,194,0.3717,0.03,12.39,606,989,1000,1858,0
1191763,194,0.3717,0.03,12.39,606,989,1000,1858,0
1191816,194,0.3717,0.03,12.39,606,989,1000,1858,0
1191868,194,0.3717,0.03,12.39,606,989,1000,1858,0
1191921,194,0.3717,0.03,12.39,606,989,1000,1858,0
1191974,194,0.3717,0.03,12.39,606,989,1000,1858,0
1192027,194,0.3717,0.03,12.39,606,989,1000,1858,0
1192080,194,0.3717,0.03,12.39,606,998,1000,1858,0
1192132,194,0.3717,0.03,12.39,606,1005,1005,1858,0
1192185,194,0.3717,0.03,12.39,606,1018,1018,1866,0
1192238,194,0.3717,0.03,12.39,606,1027,1027,1880,0
1192291,194,0.3717,0.03,12.39,606,1031,1031,1887,0
1192343,194,0.3717,0.03,12.39,606,1040,1040,1892,0
1192396,194,0.3717,0.03,12.39,606,1046,1046,1900,0
1192449,194,0.3717,0.03,12.39,606,1055,1055,1907,0
1192501,194,0.3717,0.03,12.39,606,1062,1062,1917,0
1192554,194,0.3717,0.03,12.39,607,1072,1072,1925,0
1192607,194,0.3717,0.03,12.39,607,1087,1087,1938,0
1192660,194,0.3717,0.03,12.39,607,1091,1091,1945,0
1192712,194,0.3717,0.03,12.39,607,1098,1098,1952,0
1192765,194,0.3717,0.03,12.39,607,1105,1105,1958,0
1192818,194,0.3717,0.03,12.39,607,1117,1117,1967,0
1192870,194,0.3717,0.03,12.39,607,1122,1122,1975,0
1192923,194,0.3717,0.03,12.39,607,1133,1133,1985,0
1192976,194,31.339499,2.55,12.29,607,1139,1139,1191,0
1193028,194,16.042,1.3,12.34,607,1145,1145,1892,0
1193081,194,15.5484,1.26,12.34,608,1150,1150,1852,0
1193133,194,15.178201,1.23,12.34,608,1153,1153,1866,0
1193186,194,12.957,1.05,12.34,608,1165,1165,2000,0
1193239,194,11.7325,0.95,12.35,609,1178,1178,1933,0
1193292,194,12.597,1.02,12.35,609,1183,1183,1894,0
1193344,194,12.4634,1.01,12.34,609,1190,1190,1911,0
1193397,194,15.054801,1.22,12.34,609,1199,1199,1878,0
1193450,194,16.042,1.3,12.34,610,1202,1202,1875,0
1193503,194,17.5086,1.42,12.33,610,1210,1210,1876,0
1193555,194,18.0018,1.46,12.33,610,1214,1214,1860,0
1193608,194,20.328,1.65,12.32,611,1221,1221,1844,0
1193661,194,21.3136,1.73,12.32,611,1234,1234,1857,0
1193714,194,23.019701,1.87,12.31,612,1240,1240,1824,0
1193767,194,25.338,2.06,12.3,612,1254,1254,1816,0
1193819,194,29.004398,2.36,12.29,613,1264,1264,1748,0
1193872,194,32.638203,2.66,12.27,613,1267,1267,1733,0
1193925,194,33.7425,2.75,12.27,614,1279,1279,1765,0
1193978,194,35.951103,2.93,12.27,615,1286,1286,1744,0
1194031,194,37.1478,3.03,12.26,615,1296,1296,1742,0
1194083,194,38.5875,3.15,12.25,616,1297,1297,1731,0
1194136,194,39.0775,3.19,12.25,617,1302,1302,1747,0
1194189,194,41.4936,3.39,12.24,618,1314,1314,1708,0
1194242,194,44.7618,3.66,12.23,619,1324,1324,1681,0
1194295,194,48.0246,3.93,12.22,620,1329,1329,1637,0
1194347,194,50.427303,4.13,12.21,620,1336,1336,1655,0
1194400,194,47.8632,3.92,12.21,621,1340,1340,1665,0
1194453,194,48.4737,3.97,12.21,622,1343,1343,1680,0
1194506,194,52.337997,4.29,12.2,623,1348,1348,1620,0
1194559,194,53.026497,4.35,12.19,625,1349,1349,1637,0
1194611,194,52.295097,4.29,12.19,626,1354,1354,1658,0
1194664,194,52.295097,4.29,12.19,627,1367,1367,1640,0
1194717,194,56.2716,4.62,12.18,628,1391,1391,1600,0
1194770,194,60.9216,5.01,12.16,629,1387,1387,1537,0
1194823,194,62.450996,5.14,12.15,630,1407,1407,1569,0
1194876,194,66.163,5.45,12.14,631,1420,1420,1537,0
1194929,194,73.4472,6.06,12.12,633,1425,1425,1445,0
1194981,194,71.508,5.9,12.12,634,1430,1430,1522,0
1195034,194,69.568794,5.74,12.12,636,1430,1430,1557,0
1195087,194,69.69,5.75,12.12,637,1432,1432,1546,0
1195140,194,75.02,6.2,12.1,638,1437,1437,1468,0
1195192,194,74.7162,6.18,12.09,640,1437,1437,1471,0
1195245,194,74.2326,6.14,12.09,641,1457,1457,1526,0
